from_id,to_id
10,1001
10,1002
10,1003
10,1004
10,1005
10,1006
10,1007
10,1008
10,1009
10,1010
10,1011
10,1012
10,1013
10,1014
10,1015
10,1016
10,1017
10,1018
10,1019
10,1020
10,1021
10,1022
10,1023
10,1024
10,1025
10,1026
10,1027
10,1028
10,1029
10,1030
10,1031
10,1032
10,1033
10,1034
10,1035
10,1036
10,1037
10,1038
10,1039
10,1040
10,1041
10,1042
10,1043
10,1044
10,1045
10,1046
10,1047
10,1048
10,1049
10,1050
10,1051
10,1052
10,1053
10,1054
10,1055
10,1056
10,1057
10,1058
10,1059
10,1060
10,1061
10,1062
10,1063
10,1064
10,1065
10,1066
10,1067
10,1068
10,1069
10,1070
10,1071
10,1072
10,1073
10,1074
10,1075
10,1076
10,1077
10,1078
10,1079
10,1080
10,1081
10,1082
10,1083
10,1084
10,1085
10,1086
10,1087
10,1088
10,1089
10,1090
10,1091
10,1092
10,1093
10,1094
10,1095
10,1096
10,1097
10,1098
10,1099
10,1100
10,1101
10,1102
10,1103
10,1104
10,1105
10,1106
10,1107
10,1108
10,1109
10,1110
10,1111
10,1112
10,1113
10,1114
10,1115
10,1116
10,1117
10,1118
10,1119
10,1120
10,1121
10,1122
10,1123
10,1124
10,1125
10,1126
10,1127
10,1128
10,1129
10,1130
10,1131
10,1132
10,1133
10,1134
10,1135
10,1136
10,1137
10,1138
10,1139
10,1140
10,1141
10,1142
10,1143
10,1144
10,1145
10,1146
10,1147
10,1148
10,1149
10,1150
10,1151
10,1152
10,1153
20,2001
20,2002
20,2003
20,2004
20,2005
20,2006
20,2007
20,2008
20,2009
20,2010
20,2011
20,2012
20,2013
20,2014
20,2015
20,2016
20,2017
20,2018
20,2019
20,2020
20,2021
20,2022
20,2023
20,2024
20,2025
20,2026
20,2027
20,2028
20,2029
20,2030
20,2031
20,2032
20,2033
20,2034
20,2035
20,2036
20,2037
20,2038
20,2039
20,2040
20,2041
20,2042
20,2043
20,2044
20,2045
20,2046
20,2047
20,2048
20,2049
20,2050
20,2051
20,2052
20,2053
20,2054
20,2055
20,2056
20,2057
20,2058
20,2059
20,2060
20,2061
20,2062
20,2063
20,2064
20,2065
20,2066
20,2067
20,2068
20,2069
20,2070
20,2071
20,2072
20,2073
20,2074
20,2075
20,2076
20,2077
20,2078
20,2079
20,2080
20,2081
20,2082
20,2083
20,2084
20,2085
20,2086
20,2087
20,2088
20,2089
20,2090
20,2091
20,2092
20,2093
20,2094
20,2095
20,2096
20,2097
20,2098
20,2099
20,2100
20,2101
20,2102
20,2103
20,2104
20,2105
20,2106
20,2107
20,2087
30,3001
30,3002
30,3003
30,3004
30,3005
30,3006
30,3007
30,3008
30,3009
30,3010
30,3011
30,3012
30,3013
30,3014
30,3015
30,3016
30,3017
30,3018
30,3019
30,3020
30,3021
30,3022
30,3023
30,3024
30,3025
30,3026
30,3027
30,3028
30,3029
30,3030
30,3031
30,3032
30,3033
30,3034
30,3035
30,3036
30,3037
30,3038
30,3039
30,3040
30,3041
30,3042
30,3043
30,3044
30,3045
30,3046
30,3047
30,3048
30,3049
30,3050
30,3051
30,3052
30,3053
30,3054
30,3055
30,3056
30,3057
30,3058
30,3059
30,3060
30,3061
30,3062
30,3063
30,3064
30,3065
30,3066
30,3067
30,3068
30,3069
